monitoring_location_id,time,parameter_code,parameter_name,value,unit_of_measure,statistic_id,approval_status
USGS-01357500,2024-05-01,00060,,8240,ft^3/s,00003,Approved
USGS-01357500,2024-05-03,00060,,4630,ft^3/s,00003,Approved
USGS-01357500,2024-05-04,00060,,5230,ft^3/s,00003,Approved
USGS-01357500,2024-05-05,00060,,6060,ft^3/s,00003,Approved
USGS-01357500,2024-05-06,00060,,9570,ft^3/s,00003,Approved
USGS-01357500,2024-05-07,00060,,7910,ft^3/s,00003,Approved
USGS-01357500,2024-05-08,00060,,5730,ft^3/s,00003,Approved
USGS-01357500,2024-05-10,00060,,7280,ft^3/s,00003,Approved
USGS-01357500,2024-05-11,00060,,6620,ft^3/s,00003,Approved
USGS-01357500,2024-05-12,00060,,5050,ft^3/s,00003,Approved
USGS-01357500,2024-05-15,00060,,3570,ft^3/s,00003,Approved
USGS-01357500,2024-05-16,00060,,10700,ft^3/s,00003,Approved
USGS-01357500,2024-05-17,00060,,7530,ft^3/s,00003,Approved
USGS-01357500,2024-05-19,00060,,5500,ft^3/s,00003,Approved
USGS-01357500,2024-05-20,00060,,3210,ft^3/s,00003,Approved
USGS-01357500,2024-05-21,00060,,3440,ft^3/s,00003,Approved
USGS-01357500,2024-05-22,00060,,3690,ft^3/s,00003,Approved
USGS-01357500,2024-05-25,00060,,2510,ft^3/s,00003,Approved
USGS-01357500,2024-05-26,00060,,2280,ft^3/s,00003,Approved
USGS-01357500,2024-05-27,00060,,2460,ft^3/s,00003,Approved
USGS-01357500,2024-05-29,00060,,4280,ft^3/s,00003,Approved
USGS-01357500,2024-05-31,00060,,3080,ft^3/s,00003,Approved
USGS-01357500,2024-06-03,00060,,1870,ft^3/s,00003,Approved
USGS-01357500,2024-06-04,00060,,1940,ft^3/s,00003,Approved
USGS-01357500,2024-06-05,00060,,1940,ft^3/s,00003,Approved
USGS-01357500,2024-06-06,00060,,2300,ft^3/s,00003,Approved
USGS-01357500,2024-06-07,00060,,4000,ft^3/s,00003,Approved
USGS-01357500,2024-06-08,00060,,2860,ft^3/s,00003,Approved
USGS-01357500,2024-06-09,00060,,3690,ft^3/s,00003,Approved
